Sample,mineral,Sa,Sa_err,latitude,longitude,altitude_m,depth_m,water_percent,water_err,U_ppm,U_err,Th_ppm,Th_err,K_percent,K_err
LUM4523,calcite,22.9,0.2,42.45,13.27,889,1000,0,1,0.5193,0.0147,0.1897,0.0088,0.0142,0.00077
LUM4524,calcite,27.6,2.7,42.45,13.27,889,1000,0,1,1.0756,0.005,0.2487,0.0063,0.02677,0.00136
LUM4525,calcite,26.7,2,42.45,13.27,853,1000,0,1,0.8738,0.0109,0.1969,0.0051,0.01606,0.00063
LUM4526,calcite,24.2,2.8,42.45,13.27,853,1000,0,1,0.5899,0.009,0.1186,0.002,0.0096,0.00026
LUM4771,calcite,27.2,1.7,42.45,13.27,853,1000,0,1,0.6708,0.0134,0.0657,0.0033,0.00243,0.00012
LUM4773,calcite,27.2,1.7,42.45,13.27,868,1000,0,1,1.4026,0.0281,0.1293,0.0065,0.00303,0.00015
LUM4774,calcite,15.9,1.6,42.45,13.27,928,1000,0,1,0.4694,0.0094,0.0219,0.0011,0.00208,0.0001
LUM4775,calcite,15.7,1.7,42.45,13.27,875,1000,0,1,0.4461,0.0089,0.0361,0.0018,0.00224,0.00011
LUM4532,calcite,17.1,0.6,42.45,13.27,775,1000,0,1,0.7044,0.0045,0.0561,0.0025,0.0077,0.0004
LUM4772,calcite,17.1,0.6,42.45,13.27,775,1000,0,1,0.5642,0.0113,0.1759,0.0088,0.00344,0.00017
LUM4778,calcite,18.9,0.7,42.45,13.27,775,1000,0,1,0.6088,0.0122,0.1181,0.0059,0.00296,0.00015
LUM4779,calcite,16.1,0.6,42.45,13.27,800,1000,0,1,0.3323,0.0066,0.0163,0.0008,0.00199,0.0001
LUM4780,calcite,20.8,0.5,50.43,11.02,500,10,0.01,0.01,0.42,0.02,0.0071,0.0005,0.00764,0.0006528
LUM4346,calcite,20.8,0.5,50.43,11.02,500,10,0.01,0.01,0.65,0.03,0.0254,0.0011,0.00768,0.00042755
LUM4347,calcite,20.8,0.5,50.43,11.02,500,10,0.01,0.01,0.67,0.02,0.0123,0.0006,0.0067,0.00050615
LUM4348,calcite,20.8,0.5,50.43,11.02,500,10,0.01,0.01,0.87,0.03,0.0081,0.0003,0.006,0.00024595
LUM4523,dolomite,22.9,0.2,42.45,13.27,889,1000,0,1,0.5193,0.0147,0.1897,0.0088,0.0142,0.00077
LUM4524,dolomite,27.6,2.7,42.45,13.27,889,1000,0,1,1.0756,0.005,0.2487,0.0063,0.02677,0.00136
LUM4525,dolomite,26.7,2,42.45,13.27,853,1000,0,1,0.8738,0.0109,0.1969,0.0051,0.01606,0.00063
LUM4526,dolomite,24.2,2.8,42.45,13.27,853,1000,0,1,0.5899,0.009,0.1186,0.002,0.0096,0.00026
LUM4771,dolomite,27.2,1.7,42.45,13.27,853,1000,0,1,0.6708,0.0134,0.0657,0.0033,0.00243,0.00012
LUM4773,dolomite,27.2,1.7,42.45,13.27,868,1000,0,1,1.4026,0.0281,0.1293,0.0065,0.00303,0.00015
LUM4774,dolomite,15.9,1.6,42.45,13.27,928,1000,0,1,0.4694,0.0094,0.0219,0.0011,0.00208,0.0001
LUM4775,dolomite,15.7,1.7,42.45,13.27,875,1000,0,1,0.4461,0.0089,0.0361,0.0018,0.00224,0.00011
LUM4532,dolomite,17.1,0.6,42.45,13.27,775,1000,0,1,0.7044,0.0045,0.0561,0.0025,0.0077,0.0004
LUM4772,dolomite,17.1,0.6,42.45,13.27,775,1000,0,1,0.5642,0.0113,0.1759,0.0088,0.00344,0.00017
LUM4778,dolomite,18.9,0.7,42.45,13.27,775,1000,0,1,0.6088,0.0122,0.1181,0.0059,0.00296,0.00015
LUM4779,dolomite,16.1,0.6,42.45,13.27,800,1000,0,1,0.3323,0.0066,0.0163,0.0008,0.00199,0.0001
LUM4780,dolomite,20.8,0.5,50.43,11.02,500,10,0.01,0.01,0.42,0.02,0.0071,0.0005,0.00764,0.0006528
LUM4346,dolomite,20.8,0.5,50.43,11.02,500,10,0.01,0.01,0.65,0.03,0.0254,0.0011,0.00768,0.00042755
LUM4347,dolomite,20.8,0.5,50.43,11.02,500,10,0.01,0.01,0.67,0.02,0.0123,0.0006,0.0067,0.00050615
LUM4348,dolomite,20.8,0.5,50.43,11.02,500,10,0.01,0.01,0.87,0.03,0.0081,0.0003,0.006,0.00024595
